"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Regular price","Sale price","Categories","Tags","Brands","Images","Parent","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"","variation","65131594","Tailored Pleated Long Wool Bermuda Shorts","1","","visible","","","taxable","1","5","","","314","","","","","","ABC-211240","Color","Beige","","0","Size","34","","0"
"","variation","65131595","Tailored Pleated Long Wool Bermuda Shorts","1","","visible","","","taxable","1","4","","","314","","","","","","ABC-211240","Color","Beige","","0","Size","36","","0"
"","variation","65131596","Tailored Pleated Long Wool Bermuda Shorts","1","","visible","","","taxable","1","6","","","314","","","","","","ABC-211240","Color","Beige","","0","Size","38","","0"
"","variation","65131597","Tailored Pleated Long Wool Bermuda Shorts","1","","visible","","","taxable","1","3","","","314","","","","","","ABC-211240","Color","Beige","","0","Size","40","","0"
"","variation","65131598","Tailored Pleated Long Wool Bermuda Shorts","1","","visible","","","taxable","1","3","","","314","","","","","","ABC-211240","Color","Beige","","0","Size","42","","0"
"","variable","ABC-211237","Long Sleeve Short Pleated Dress","1","0","visible","The main fabric of this piece is made from at least 50% recycled polyester fibres.

Short pleated dress","The main fabric of this piece is made from at least 50% recycled polyester fibres.

Short pleated dress","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abb4257a70.opt.webp?id=2270580, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb514adc9.opt.webp?id=2270584, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb4f3cf69.opt.webp?id=2270583, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb4b25764.opt.webp?id=2270581, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb4d2a8e1.opt.webp?id=2270582","","Color","Navy","1","0","Size","34, 36, 38","1","0"
"","variation","65131908","Long Sleeve Short Pleated Dress","1","","visible","","","taxable","1","3","","","384","","","","","","ABC-211237","Color","Navy","","0","Size","34","","0"
"","variation","65131909","Long Sleeve Short Pleated Dress","1","","visible","","","taxable","1","3","","","384","","","","","","ABC-211237","Color","Navy","","0","Size","36","","0"
"","variation","65131910","Long Sleeve Short Pleated Dress","1","","visible","","","taxable","1","3","","","384","","","","","","ABC-211237","Color","Navy","","0","Size","38","","0"
"","variable","ABC-211233","Short Fringed Tweed Dress","1","0","visible","-","-","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abb27515d8.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb31d7102.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb33b859a.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb35c38c2.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abb37b20d7.opt.webp","","Color","Black","1","0","Size","34, 36, 38, 40","1","0"
"","variation","65131815","Short Fringed Tweed Dress","1","","visible","","","taxable","1","6","","","414","","","","","","ABC-211233","Color","Black","","0","Size","34","","0"
"","variation","65131816","Short Fringed Tweed Dress","1","","visible","","","taxable","1","6","","","414","","","","","","ABC-211233","Color","Black","","0","Size","36","","0"
"","variation","65131817","Short Fringed Tweed Dress","1","","visible","","","taxable","1","4","","","414","","","","","","ABC-211233","Color","Black","","0","Size","38","","0"
"","variation","65131818","Short Fringed Tweed Dress","1","","visible","","","taxable","1","3","","","414","","","","","","ABC-211233","Color","Black","","0","Size","40","","0"
"","variable","ABC-211228","Cowl-Back Maxi Dress","1","0","visible","Long black dress with draped cowl back
Round crew neck
Asymmetrical hem
Horizontal band at the back and gold metal logo
Button fastening at the nape and back
This season highlights a multifaceted femininity, where an interplay of cutaways and draping flatters the figure of a confident, bold Maje woman who is free to move.

This black jersey midi dress stands out with its spectacular cowl back and fitted cut, elegantly revealing the nape of the neck while the horizontal band provides discreet support. Its sleeves structure the silhouette, offering a look that is both graphic and sensual, and the gold metal logo on the back finishes the piece with a precious detail.","Long black dress with draped cowl back
Round crew neck
Asymmetrical hem
Horizontal band at the back and gold metal logo
Button fastening at the nape and back
This season highlights a multifaceted femininity, where an interplay of cutaways and draping flatters the figure of a confident, bold Maje woman who is free to move.

This black jersey midi dress stands out with its spectacular cowl back and fitted cut, elegantly revealing the nape of the neck while the horizontal band provides discreet support. Its sleeves structure the silhouette, offering a look that is both graphic and sensual, and the gold metal logo on the back finishes the piece with a precious detail.","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abdb605e39.opt.webp?id=2270624, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdc2457b6.opt.webp?id=2270627, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdc431540.opt.webp?id=2270628, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdbe4c4e6.opt.webp?id=2270625, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdc05929e.opt.webp?id=2270626","","Color","Black","1","0","Size","34, 36, 38, 40, 42","1","0"
"","variation","65131649","Cowl-Back Maxi Dress","1","","visible","","","taxable","1","5","","","384","","","","","","ABC-211228","Color","Black","","0","Size","34","","0"
"","variation","65131650","Cowl-Back Maxi Dress","1","","visible","","","taxable","1","5","","","384","","","","","","ABC-211228","Color","Black","","0","Size","36","","0"
"","variation","65131651","Cowl-Back Maxi Dress","1","","visible","","","taxable","1","4","","","384","","","","","","ABC-211228","Color","Black","","0","Size","38","","0"
"","variation","65131652","Cowl-Back Maxi Dress","1","","visible","","","taxable","1","3","","","384","","","","","","ABC-211228","Color","Black","","0","Size","40","","0"
"","variation","65131653","Cowl-Back Maxi Dress","1","","visible","","","taxable","1","3","","","384","","","","","","ABC-211228","Color","Black","","0","Size","42","","0"
"","variable","ABC-211218","Flowing Short Sleeve Knit Maxi Dress","1","0","visible","Flowing knit maxi dress
Textured pattern
Fitted waist
Gold buttons down the front
Flared skirt
An urban spirit shines through in the flowing knit and deep burgundy shade, the signature of a confident, modern femininity.

This knit maxi dress creates a fitted silhouette, accentuated by a textured pattern down the length. Its gold button placket stretches down to the flared skirt, bringing structure and movement to the look.","Flowing knit maxi dress
Textured pattern
Fitted waist
Gold buttons down the front
Flared skirt
An urban spirit shines through in the flowing knit and deep burgundy shade, the signature of a confident, modern femininity.

This knit maxi dress creates a fitted silhouette, accentuated by a textured pattern down the length. Its gold button placket stretches down to the flared skirt, bringing structure and movement to the look.","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abcd95fd1a.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abcee170f0.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abceff3e0a.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abcf1eb5fd.opt.webp","","Color","Burgundy","1","0","Size","34, 36, 38, 40, 42","1","0"
"","variation","65131490","Flowing Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","5","","","414","","","","","","ABC-211218","Color","Burgundy","","0","Size","34","","0"
"","variation","65131491","Flowing Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","7","","","414","","","","","","ABC-211218","Color","Burgundy","","0","Size","36","","0"
"","variation","65131492","Flowing Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","7","","","414","","","","","","ABC-211218","Color","Burgundy","","0","Size","38","","0"
"","variation","65131493","Flowing Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","5","","","414","","","","","","ABC-211218","Color","Burgundy","","0","Size","40","","0"
"","variation","65131494","Flowing Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","2","","","414","","","","","","ABC-211218","Color","Burgundy","","0","Size","42","","0"
"","variable","ABC-211213","Pointelle Short Sleeve Knit Maxi Dress","1","0","visible","Pointelle knit maxi dress
Gold buttons
Patch pockets
Slightly sheer at the bottom of the skirt
Graphic and structured, pointelle knit reinvents the urban look with a maxi dress boasting a flowing, radiant silhouette. Its deep navy blue shade intensifies the look, reinforcing the balance between sensuality and structure.

This maxi dress features a fitted top punctuated by four flap pockets with gold buttons, and a full openwork knit skirt that adds movement and a sheer finish. A round neck, short sleeves and a textured knit set the tone for this statement piece.","Pointelle knit maxi dress
Gold buttons
Patch pockets
Slightly sheer at the bottom of the skirt
Graphic and structured, pointelle knit reinvents the urban look with a maxi dress boasting a flowing, radiant silhouette. Its deep navy blue shade intensifies the look, reinforcing the balance between sensuality and structure.

This maxi dress features a fitted top punctuated by four flap pockets with gold buttons, and a full openwork knit skirt that adds movement and a sheer finish. A round neck, short sleeves and a textured knit set the tone for this statement piece.","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abe889c10c.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe93a4a3e.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe91a760a.opt.webp","","Color","Navy","1","0","Size","34, 36, 38, 40, 42","1","0"
"","variation","65131644","Pointelle Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","4","","","414","","","","","","ABC-211213","Color","Navy","","0","Size","34","","0"
"","variation","65131645","Pointelle Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","4","","","414","","","","","","ABC-211213","Color","Navy","","0","Size","36","","0"
"","variation","65131646","Pointelle Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","6","","","414","","","","","","ABC-211213","Color","Navy","","0","Size","38","","0"
"","variation","65131647","Pointelle Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","3","","","414","","","","","","ABC-211213","Color","Navy","","0","Size","40","","0"
"","variation","65131648","Pointelle Short Sleeve Knit Maxi Dress","1","","visible","","","taxable","1","2","","","414","","","","","","ABC-211213","Color","Navy","","0","Size","42","","0"
"","variable","ABC-211210","V-neckline Midi Slip Dress with Lace Trim","1","0","visible","Midi slip dress
Lace-trimmed V-neckline
Adjustable spaghetti straps
High slit with lace trim
Scalloped lace hem
Boudoir style reinvents the urban wardrobe with this black dress, where delicate lace contrasts with the intense depth of the colour for an assertive, sensual look.

Its flowing cut creates an elongated silhouette, enhanced by a V-neckline and a high slit accentuated with refined lace. The adjustable straps and scalloped hem add to its sophisticated appeal.","Midi slip dress
Lace-trimmed V-neckline
Adjustable spaghetti straps
High slit with lace trim
Scalloped lace hem
Boudoir style reinvents the urban wardrobe with this black dress, where delicate lace contrasts with the intense depth of the colour for an assertive, sensual look.

Its flowing cut creates an elongated silhouette, enhanced by a V-neckline and a high slit accentuated with refined lace. The adjustable straps and scalloped hem add to its sophisticated appeal.","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abe5f23ed8.opt.webp?id=2270641, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe6de4c70.opt.webp?id=2270644, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe6c170b5.opt.webp?id=2270643, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe6a11063.opt.webp?id=2270642","","Color","Dk Brown","1","0","Size","34, 36, 38","1","0"
"","variation","65131482","V-neckline Midi Slip Dress with Lace Trim","1","","visible","","","taxable","1","4","","","344","","","","","","ABC-211210","Color","Dk Brown","","0","Size","34","","0"
"","variation","65131483","V-neckline Midi Slip Dress with Lace Trim","1","","visible","","","taxable","1","3","","","344","","","","","","ABC-211210","Color","Dk Brown","","0","Size","36","","0"
"","variation","65131484","V-neckline Midi Slip Dress with Lace Trim","1","","visible","","","taxable","1","4","","","344","","","","","","ABC-211210","Color","Dk Brown","","0","Size","38","","0"
"","variable","ABC-211206","Patterned Cutaway Silk Maxi Dress","1","0","visible","Printed silk maxi dress
Cutaway waist and back with ties
Interplay of contrasting motifs
Loungewear is becoming more modern and elegant, worn as a daytime look. The Maje woman expresses herself through subtle prints and signature cutaway details, for a free and unique style.

This silk maxi dress stands out with its floaty, cinched fit, enhanced by side and back cutaways that connect the top and skirt with a contrasting central band. The mix of prints creates a refined and distinctly sophisticated visual composition.","Printed silk maxi dress
Cutaway waist and back with ties
Interplay of contrasting motifs
Loungewear is becoming more modern and elegant, worn as a daytime look. The Maje woman expresses herself through subtle prints and signature cutaway details, for a free and unique style.

This silk maxi dress stands out with its floaty, cinched fit, enhanced by side and back cutaways that connect the top and skirt with a contrasting central band. The mix of prints creates a refined and distinctly sophisticated visual composition.","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abe12567a2.opt.webp?id=2270633, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe1a9a2a2.opt.webp?id=2270634, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe1cac220.opt.webp?id=2270635, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe1f0aea8.opt.webp?id=2270636, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abe212c3c3.opt.webp?id=2270637","","Color","Lt Blue","1","0","Size","34, 36, 38","1","0"
"","variation","65131304","Patterned Cutaway Silk Maxi Dress","1","","visible","","","taxable","1","3","","","594","","","","","","ABC-211206","Color","Lt Blue","","0","Size","34","","0"
"","variation","65131305","Patterned Cutaway Silk Maxi Dress","1","","visible","","","taxable","1","1","","","594","","","","","","ABC-211206","Color","Lt Blue","","0","Size","36","","0"
"","variation","65131306","Patterned Cutaway Silk Maxi Dress","1","","visible","","","taxable","1","2","","","594","","","","","","ABC-211206","Color","Lt Blue","","0","Size","38","","0"
"","variable","ABC-211202","Halterneck Short Denim Dress With Brooch","1","0","visible","Short denim dress
Halterneck and backless
Removable gold flower brooch
Flared skirt with contrasting topstitching
Zip fastening and gold buttons at the back
Two discreet side pockets
A playful spirit runs through the collection, where the energy of Paris meets denim to indulge your free-spirited side.

This short, deep blue denim dress features a flared, backless design, accentuated by a halterneck. Ochre topstitching and a removable flower brooch on the shoulder elegantly brighten up the silhouette.","Short denim dress
Halterneck and backless
Removable gold flower brooch
Flared skirt with contrasting topstitching
Zip fastening and gold buttons at the back
Two discreet side pockets
A playful spirit runs through the collection, where the energy of Paris meets denim to indulge your free-spirited side.

This short, deep blue denim dress features a flared, backless design, accentuated by a halterneck. Ochre topstitching and a removable flower brooch on the shoulder elegantly brighten up the silhouette.","taxable","1","","0","0","","","Women > Clothing > Dresses","maje, women-clothing-dresses","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abdea1a646.opt.webp?id=2270629, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdf623e9b.opt.webp?id=2270632, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdf1dd818.opt.webp?id=2270630, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abdf400b02.opt.webp?id=2270631","","Color","Navy","1","0","Size","34, 38, 40","1","0"
"","variation","65132305","Halterneck Short Denim Dress With Brooch","1","","visible","","","taxable","1","2","","","314","","","","","","ABC-211202","Color","Navy","","0","Size","34","","0"
"","variation","65132307","Halterneck Short Denim Dress With Brooch","1","","visible","","","taxable","1","3","","","314","","","","","","ABC-211202","Color","Navy","","0","Size","38","","0"
"","variation","65132308","Halterneck Short Denim Dress With Brooch","1","","visible","","","taxable","1","2","","","314","","","","","","ABC-211202","Color","Navy","","0","Size","40","","0"
"","variable","ABC-211198","Second-Skin Round Neck Wool Top","1","0","visible","The main fabric of this garment is made up of at least 50% wool fibres from a certified mill.

Second-skin wool jumper
Snug, comfortable fit
Embroidered Maje Heart on the back
A blend of softness and modernity, this lavender wool jumper is the epitome of a refined, urban wardrobe, designed for the Maje woman seeking comfort and style.

Knitted in fine wool in a subtle pastel shade, it hugs the figure like a second skin, accentuated by a sleek round neck and a discreetly embroidered Maje Heart on the back.","The main fabric of this garment is made up of at least 50% wool fibres from a certified mill.

Second-skin wool jumper
Snug, comfortable fit
Embroidered Maje Heart on the back
A blend of softness and modernity, this lavender wool jumper is the epitome of a refined, urban wardrobe, designed for the Maje woman seeking comfort and style.

Knitted in fine wool in a subtle pastel shade, it hugs the figure like a second skin, accentuated by a sleek round neck and a discreetly embroidered Maje Heart on the back.","taxable","1","","0","0","","","Women > Clothing > Tops & T-Shirts","maje, women-clothing-tops-and-t-shirts","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7aba1356cb0.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba1c2cc8f.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba1e742d5.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba20ba478.opt.webp","","Color","Violet","1","0","Size","0, 1, 2, 3","1","0"
"","variation","65131571","Second-Skin Round Neck Wool Top","1","","visible","","","taxable","1","4","","","234","","","","","","ABC-211198","Color","Violet","","0","Size","0","","0"
"","variation","65131572","Second-Skin Round Neck Wool Top","1","","visible","","","taxable","1","4","","","234","","","","","","ABC-211198","Color","Violet","","0","Size","1","","0"
"","variation","65131573","Second-Skin Round Neck Wool Top","1","","visible","","","taxable","1","4","","","234","","","","","","ABC-211198","Color","Violet","","0","Size","2","","0"
"","variation","65131574","Second-Skin Round Neck Wool Top","1","","visible","","","taxable","1","3","","","234","","","","","","ABC-211198","Color","Violet","","0","Size","3","","0"
"","variable","ABC-211193","Straight-leg Rhinestone Suit Trousers","1","0","visible","The main fabric of this garment is made from at least 50% recycled polyester and viscose fibres, using a controlled processing method.

Straight-leg suit trousers with rhinestone pinstripes
Long, structured fit
The studio is revisiting the codes of Parisian sophistication, breathing sparkle and character into a wardrobe classic: striped trousers embellished with rhinestones that catch the light with every movement.

These suit trousers elongate the leg with their long, straight-leg fit. The fitted waist, front pleats and belt loops add a touch of precision to an elegant, assertive silhouette.","The main fabric of this garment is made from at least 50% recycled polyester and viscose fibres, using a controlled processing method.

Straight-leg suit trousers with rhinestone pinstripes
Long, structured fit
The studio is revisiting the codes of Parisian sophistication, breathing sparkle and character into a wardrobe classic: striped trousers embellished with rhinestones that catch the light with every movement.

These suit trousers elongate the leg with their long, straight-leg fit. The fitted waist, front pleats and belt loops add a touch of precision to an elegant, assertive silhouette.","taxable","1","","0","0","","","Women > Clothing > Trousers","maje, women-clothing-trousers","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7ab9efb1bcb.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7ab9f93f888.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7ab9fb41d5e.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7ab9fd6fc0a.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7ab9ff5e82e.opt.webp","","Color","Grey","1","0","Size","34, 36, 38, 40, 42","1","0"
"","variation","65131550","Straight-leg Rhinestone Suit Trousers","1","","visible","","","taxable","1","5","","","359","","","","","","ABC-211193","Color","Grey","","0","Size","34","","0"
"","variation","65131551","Straight-leg Rhinestone Suit Trousers","1","","visible","","","taxable","1","5","","","359","","","","","","ABC-211193","Color","Grey","","0","Size","36","","0"
"","variation","65131552","Straight-leg Rhinestone Suit Trousers","1","","visible","","","taxable","1","6","","","359","","","","","","ABC-211193","Color","Grey","","0","Size","38","","0"
"","variation","65131553","Straight-leg Rhinestone Suit Trousers","1","","visible","","","taxable","1","3","","","359","","","","","","ABC-211193","Color","Grey","","0","Size","40","","0"
"","variation","65131554","Straight-leg Rhinestone Suit Trousers","1","","visible","","","taxable","1","3","","","359","","","","","","ABC-211193","Color","Grey","","0","Size","42","","0"
"","variable","ABC-211190","Belted High-Neck Coat with Buckle Details","1","0","visible","-","-","taxable","1","","0","0","","","Women > Clothing > Coats","maje, women-clothing-coats","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a9518b617ee5.opt.webp?id=2300883, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9518c8a8649.opt.webp?id=2300887, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9518ca4f3e0.opt.webp?id=2300888, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9518c32a54e.opt.webp?id=2300884, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9518c523e6d.opt.webp?id=2300885, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9518c6dd8a2.opt.webp?id=2300886","","Color","Camel","1","0","Size","38, 40, 42","1","0"
"","variation","65131236","Belted High-Neck Coat with Buckle Details","1","","visible","","","taxable","1","4","","","664","","","","","","ABC-211190","Color","Camel","","0","Size","38","","0"
"","variation","65131237","Belted High-Neck Coat with Buckle Details","1","","visible","","","taxable","1","3","","","664","","","","","","ABC-211190","Color","Camel","","0","Size","40","","0"
"","variation","65131238","Belted High-Neck Coat with Buckle Details","1","","visible","","","taxable","1","3","","","664","","","","","","ABC-211190","Color","Camel","","0","Size","42","","0"
"","variable","ABC-211184","Wool Jacket with Black Leather Collar and Gold-Tone Buttons","1","0","visible","-","-","taxable","1","","0","0","","","Women > Clothing > Jackets & Blazers","maje, women-clothing-jackets-and-blazers","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a95194013337.opt.webp?id=2300892, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a951955e038a.opt.webp?id=2300895, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a95195781822.opt.webp?id=2300896, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a951952336da.opt.webp?id=2300893, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a951954212b9.opt.webp?id=2300894, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a9519590e7d7.opt.webp?id=2300897","","Color","Brown","1","0","Size","34, 36, 40","1","0"
"","variation","65131202","Wool Jacket with Black Leather Collar and Gold-Tone Buttons","1","","visible","","","taxable","1","4","","","619","","","","","","ABC-211184","Color","Brown","","0","Size","34","","0"
"","variation","65131203","Wool Jacket with Black Leather Collar and Gold-Tone Buttons","1","","visible","","","taxable","1","6","","","619","","","","","","ABC-211184","Color","Brown","","0","Size","36","","0"
"","variation","65131205","Wool Jacket with Black Leather Collar and Gold-Tone Buttons","1","","visible","","","taxable","1","3","","","619","","","","","","ABC-211184","Color","Brown","","0","Size","40","","0"
"","variable","ABC-211180","Fitted Double-Faced Coat","1","0","visible","Fitted double-faced coat","Fitted double-faced coat","taxable","1","","0","0","","","Women > Clothing > Coats","maje, women-clothing-coats","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7aba43b7bf7.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba5b57064.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba5d73315.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba5fa1167.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7aba6193b2e.opt.webp","","Color","Navy","1","0","Size","34, 36, 38, 40","1","0"
"","variation","65131211","Fitted Double-Faced Coat","1","","visible","","","taxable","1","4","","","619","","","","","","ABC-211180","Color","Navy","","0","Size","34","","0"
"","variation","65131212","Fitted Double-Faced Coat","1","","visible","","","taxable","1","4","","","619","","","","","","ABC-211180","Color","Navy","","0","Size","36","","0"
"","variation","65131213","Fitted Double-Faced Coat","1","","visible","","","taxable","1","2","","","619","","","","","","ABC-211180","Color","Navy","","0","Size","38","","0"
"","variation","65131214","Fitted Double-Faced Coat","1","","visible","","","taxable","1","2","","","619","","","","","","ABC-211180","Color","Navy","","0","Size","40","","0"
"","variable","ABC-211175","Double-Faced Mid-Length Wool Coat","1","0","visible","Mid-length double-faced wool coat
Straight double-breasted fit
Removable tie belt
Gold buttons and shoulder plackets
Front patch pockets
Blending academic rigour with Parisian energy, this coat asserts a free yet structured attitude.

Made from double-faced wool, it creates a straight silhouette accentuated by a lapel collar and a gold double-breasted design. Its removable belt highlights the waist, while the shoulder plackets and patch pockets add structure to the overall look.","Mid-length double-faced wool coat
Straight double-breasted fit
Removable tie belt
Gold buttons and shoulder plackets
Front patch pockets
Blending academic rigour with Parisian energy, this coat asserts a free yet structured attitude.

Made from double-faced wool, it creates a straight silhouette accentuated by a lapel collar and a gold double-breasted design. Its removable belt highlights the waist, while the shoulder plackets and patch pockets add structure to the overall look.","taxable","1","","0","0","","","Women > Clothing > Coats","maje, women-clothing-coats","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abaa367c90.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abaaad244d.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abaad29255.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abaaf21b32.opt.webp","","Color","Ecru","1","0","Size","34, 36, 38, 40, 42","1","0"
"","variation","65131220","Double-Faced Mid-Length Wool Coat","1","","visible","","","taxable","1","3","","","619","","","","","","ABC-211175","Color","Ecru","","0","Size","34","","0"
"","variation","65131221","Double-Faced Mid-Length Wool Coat","1","","visible","","","taxable","1","3","","","619","","","","","","ABC-211175","Color","Ecru","","0","Size","36","","0"
"","variation","65131222","Double-Faced Mid-Length Wool Coat","1","","visible","","","taxable","1","3","","","619","","","","","","ABC-211175","Color","Ecru","","0","Size","38","","0"
"","variation","65131223","Double-Faced Mid-Length Wool Coat","1","","visible","","","taxable","1","3","","","619","","","","","","ABC-211175","Color","Ecru","","0","Size","40","","0"
"","variation","65131224","Double-Faced Mid-Length Wool Coat","1","","visible","","","taxable","1","3","","","619","","","","","","ABC-211175","Color","Ecru","","0","Size","42","","0"
"","variable","ABC-211171","Knit Long Skirt With Peplum Hem","1","0","visible","Long pleated black knit skirt
Sheer openwork peplum hem
Flowing flared fit
With a distinctly urban feel, the interplay of textures and sheer details at the hem gives this skirt a contemporary, sophisticated look, perfect for stepping back into city life.

This long black knit skirt features a flared fit and a structured, openwork peplum hem, emphasising the movement and modern feel of the piece.","Long pleated black knit skirt
Sheer openwork peplum hem
Flowing flared fit
With a distinctly urban feel, the interplay of textures and sheer details at the hem gives this skirt a contemporary, sophisticated look, perfect for stepping back into city life.

This long black knit skirt features a flared fit and a structured, openwork peplum hem, emphasising the movement and modern feel of the piece.","taxable","1","","0","0","","","Women > Clothing > Skirts & Shorts","maje, women-clothing-skirts-and-shorts","maje","https://abc.heyacdn.com/abc.com.lb/public/data/products/6a7abac912847.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abad0de034.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abad2df303.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abad4c798f.opt.webp, https://abc.heyacdn.com/abc.com.lb/public/data/products_gallery/6a7abad6a6216.opt.webp","","Color","Black","1","0","Size","34, 36, 38, 40","1","0"
"","variation","65131683","Knit Long Skirt With Peplum Hem","1","","visible","","","taxable","1","6","","","344","","","","","","ABC-211171","Color","Black","","0","Size","34","","0"
